Open,High,Close,Low,Volume,Date
2.32,2.35,2.35,2.32,384982,21-03-2017
2.33,2.35,2.28,2.27,1434450,22-03-2017
2.28,2.3,2.27,2.255,785682,23-03-2017
2.27,2.31,2.3,2.25,815384,24-03-2017
2.29,2.3,2.29,2.26,516635,27-03-2017
2.28,2.33,2.31,2.26,586352,28-03-2017
2.31,2.37,2.36,2.3,1119085,29-03-2017
2.35,2.365,2.36,2.34,671257,30-03-2017
2.37,2.37,2.31,2.31,1030066,31-03-2017
2.3,2.35,2.31,2.3,353621,03-04-2017
2.3,2.32,2.28,2.28,456901,04-04-2017
2.29,2.31,2.3,2.265,771940,05-04-2017
2.3,2.31,2.3,2.27,616008,06-04-2017
2.31,2.31,2.26,2.24,969534,07-04-2017
2.26,2.31,2.3,2.25,701204,10-04-2017
2.31,2.34,2.33,2.3,870656,11-04-2017
2.31,2.34,2.33,2.31,726375,12-04-2017
2.32,2.35,2.34,2.31,720726,13-04-2017
2.34,2.37,2.34,2.315,1109339,18-04-2017
2.32,2.35,2.33,2.3,661052,19-04-2017
2.35,2.37,2.35,2.31,807594,20-04-2017
2.35,2.39,2.35,2.31,1079807,21-04-2017
2.33,2.33,2.32,2.25,1531857,24-04-2017
2.33,2.39,2.38,2.31,1014940,26-04-2017
2.37,2.38,2.36,2.34,760488,27-04-2017
2.34,2.375,2.33,2.32,504178,28-04-2017
2.32,2.35,2.35,2.31,886419,01-05-2017
2.34,2.355,2.24,2.18,3085300,02-05-2017
2.23,2.23,2.08,2.01,5214425,03-05-2017
2.09,2.09,2.04,1.98,3120858,04-05-2017
2.0,2.05,1.965,1.96,2093559,05-05-2017
1.975,2.02,1.99,1.97,1781000,08-05-2017
2.01,2.01,1.965,1.96,1957202,09-05-2017
1.99,2.01,1.98,1.96,2577905,10-05-2017
1.98,1.997,1.94,1.933,1557972,11-05-2017
1.93,1.935,1.91,1.895,2822255,12-05-2017
1.925,1.95,1.895,1.878,1355111,15-05-2017
1.93,1.93,1.85,1.85,2034395,16-05-2017
1.85,1.865,1.845,1.832,2350812,17-05-2017
1.82,1.855,1.85,1.785,1640115,18-05-2017
1.835,1.855,1.84,1.825,1527861,19-05-2017
1.85,1.855,1.84,1.815,1345315,22-05-2017
1.845,1.875,1.85,1.832,1634223,23-05-2017
1.85,1.855,1.805,1.785,3745523,24-05-2017
1.79,1.8,1.77,1.755,2295513,25-05-2017
1.74,1.75,1.645,1.63,5438869,26-05-2017
1.645,1.68,1.66,1.633,2554821,29-05-2017
1.67,1.742,1.71,1.65,2615390,30-05-2017
1.715,1.74,1.705,1.69,2955252,31-05-2017
1.695,1.74,1.72,1.695,2164036,01-06-2017
1.74,1.793,1.775,1.74,2839635,02-06-2017
1.79,1.79,1.705,1.66,2253615,05-06-2017
1.695,1.702,1.67,1.668,1652559,06-06-2017
1.675,1.7,1.69,1.65,1710954,07-06-2017
1.68,1.69,1.675,1.658,1373751,08-06-2017
1.68,1.68,1.645,1.64,2426505,09-06-2017
1.65,1.7,1.7,1.64,2308287,13-06-2017
1.69,1.745,1.735,1.68,1835074,14-06-2017
1.73,1.735,1.695,1.68,3667586,15-06-2017
1.69,1.72,1.7,1.67,2331236,16-06-2017
1.67,1.67,1.595,1.56,7052904,19-06-2017
1.59,1.63,1.61,1.545,3678505,20-06-2017
1.595,1.648,1.635,1.58,3241016,21-06-2017
1.65,1.705,1.65,1.638,4635373,22-06-2017
1.66,1.692,1.68,1.645,3471234,23-06-2017
1.69,1.735,1.69,1.685,3302350,26-06-2017
1.69,1.705,1.7,1.663,2045532,27-06-2017
1.69,1.815,1.805,1.685,3093280,28-06-2017
1.81,1.86,1.85,1.81,2623026,29-06-2017
1.835,1.86,1.825,1.77,2743669,30-06-2017
1.8,1.825,1.795,1.783,1093695,03-07-2017
1.805,1.87,1.84,1.8,1539195,04-07-2017
1.84,1.84,1.815,1.808,1168349,05-07-2017
1.82,1.84,1.825,1.805,858779,06-07-2017
1.8,1.815,1.8,1.775,1088580,07-07-2017
1.8,1.827,1.81,1.795,936485,10-07-2017
1.82,1.847,1.84,1.805,728458,11-07-2017
1.83,1.84,1.77,1.765,1216219,12-07-2017
1.795,1.813,1.8,1.765,644007,13-07-2017
1.81,1.865,1.855,1.8,1077986,14-07-2017
1.865,1.87,1.85,1.83,665008,17-07-2017
1.87,1.88,1.825,1.8,1433789,18-07-2017
1.84,1.85,1.84,1.815,689157,19-07-2017
1.84,1.865,1.845,1.83,1607812,20-07-2017
1.82,1.885,1.885,1.81,1044038,21-07-2017
1.88,1.89,1.875,1.86,864869,24-07-2017
1.88,1.885,1.875,1.865,487555,25-07-2017
1.88,1.925,1.91,1.875,1857053,26-07-2017
1.915,1.94,1.93,1.91,992817,27-07-2017
1.93,1.95,1.925,1.905,862916,28-07-2017
1.92,1.945,1.93,1.903,681686,31-07-2017
1.93,1.95,1.92,1.9,977977,01-08-2017
1.94,1.94,1.905,1.9,784138,02-08-2017
1.9,1.915,1.88,1.86,1003114,03-08-2017
1.855,1.875,1.835,1.825,1247417,04-08-2017
1.85,1.89,1.885,1.84,1166881,07-08-2017
1.9,1.9,1.855,1.84,1149267,08-08-2017
1.85,1.87,1.86,1.842,1321769,09-08-2017
1.86,1.88,1.865,1.845,1175844,10-08-2017
1.85,1.855,1.82,1.81,1288684,11-08-2017
1.82,1.86,1.845,1.795,791610,14-08-2017
1.74,1.76,1.75,1.65,3567771,15-08-2017
1.755,1.765,1.715,1.7,2050370,16-08-2017
1.72,1.755,1.74,1.705,1488220,17-08-2017
1.725,1.735,1.7,1.685,1570902,18-08-2017
1.7,1.745,1.735,1.69,1130221,21-08-2017
1.73,1.77,1.76,1.73,1344423,22-08-2017
1.76,1.773,1.735,1.735,1217154,23-08-2017
1.73,1.747,1.705,1.69,1650696,24-08-2017
1.715,1.73,1.7,1.69,713895,25-08-2017
1.69,1.705,1.7,1.675,1050992,28-08-2017
1.7,1.7,1.67,1.66,1148193,29-08-2017
1.68,1.692,1.68,1.67,805530,30-08-2017
1.69,1.71,1.695,1.68,838505,31-08-2017
1.69,1.71,1.69,1.68,929100,01-09-2017
1.685,1.71,1.69,1.67,797095,04-09-2017
1.69,1.695,1.67,1.67,818880,05-09-2017
1.67,1.68,1.665,1.635,1829315,06-09-2017
1.61,1.675,1.64,1.61,995545,07-09-2017
1.64,1.64,1.58,1.565,1831810,08-09-2017
1.585,1.61,1.595,1.58,1337283,11-09-2017
1.6,1.605,1.59,1.565,1193621,12-09-2017
1.605,1.63,1.62,1.595,1627679,13-09-2017
1.62,1.645,1.615,1.61,1028991,14-09-2017
1.615,1.64,1.61,1.6,1128328,15-09-2017
1.615,1.665,1.65,1.615,1139491,18-09-2017
1.66,1.675,1.655,1.64,685805,19-09-2017
1.66,1.675,1.655,1.645,962133,20-09-2017
1.665,1.665,1.605,1.605,861522,21-09-2017
1.62,1.635,1.585,1.575,823481,22-09-2017
1.595,1.605,1.565,1.56,976267,25-09-2017
1.58,1.585,1.56,1.555,857580,26-09-2017
1.56,1.58,1.57,1.55,770699,27-09-2017
1.565,1.575,1.535,1.53,1503088,28-09-2017
1.53,1.565,1.555,1.525,890655,29-09-2017
1.55,1.595,1.575,1.55,882330,02-10-2017
1.6,1.6,1.56,1.555,923486,03-10-2017
1.58,1.595,1.54,1.53,637221,04-10-2017
1.535,1.56,1.515,1.515,900848,05-10-2017
1.535,1.555,1.545,1.515,822340,06-10-2017
1.55,1.553,1.55,1.53,993838,09-10-2017
1.55,1.575,1.555,1.535,1050464,10-10-2017
1.555,1.61,1.61,1.545,996300,11-10-2017
1.61,1.61,1.555,1.535,2207761,12-10-2017
1.555,1.585,1.575,1.545,827308,13-10-2017
1.575,1.58,1.54,1.515,2571560,16-10-2017
1.545,1.55,1.55,1.51,1698056,17-10-2017
1.55,1.55,1.515,1.51,1376305,18-10-2017
1.52,1.54,1.535,1.515,1095698,19-10-2017
1.525,1.56,1.555,1.52,1039524,20-10-2017
1.56,1.585,1.565,1.55,1284905,23-10-2017
1.56,1.575,1.56,1.525,824670,24-10-2017
1.565,1.572,1.535,1.535,758823,25-10-2017
1.54,1.555,1.55,1.525,876451,26-10-2017
1.55,1.572,1.515,1.51,1458019,27-10-2017
1.51,1.53,1.525,1.48,1804445,30-10-2017
1.53,1.53,1.47,1.465,1310622,31-10-2017
1.475,1.515,1.5,1.465,1725392,01-11-2017
1.5,1.515,1.455,1.455,993454,02-11-2017
1.455,1.48,1.46,1.455,627367,03-11-2017
1.45,1.47,1.45,1.44,1264997,06-11-2017
1.45,1.53,1.52,1.445,1738562,07-11-2017
1.525,1.6,1.6,1.51,2681233,08-11-2017
1.6,1.625,1.615,1.58,2017790,09-11-2017
1.615,1.615,1.565,1.565,1133945,10-11-2017
1.57,1.61,1.59,1.57,749358,13-11-2017
1.59,1.592,1.565,1.56,851261,14-11-2017
1.57,1.57,1.555,1.535,837924,15-11-2017
1.515,1.545,1.525,1.505,1021454,16-11-2017
1.53,1.545,1.545,1.51,999648,17-11-2017
1.53,1.54,1.505,1.505,1083483,20-11-2017
1.515,1.52,1.515,1.485,1217321,21-11-2017
1.52,1.595,1.59,1.508,1990828,22-11-2017
1.59,1.615,1.61,1.565,1646464,23-11-2017
1.6,1.61,1.6,1.57,626637,24-11-2017
1.59,1.63,1.63,1.565,1173751,27-11-2017
1.63,1.695,1.695,1.61,3150247,28-11-2017
1.7,1.7,1.695,1.665,2218663,29-11-2017
1.69,1.69,1.65,1.625,1645321,30-11-2017
1.66,1.67,1.605,1.592,1497194,01-12-2017
1.61,1.625,1.575,1.57,2186487,04-12-2017
1.6,1.625,1.62,1.55,1311486,05-12-2017
1.63,1.683,1.655,1.615,2845252,06-12-2017
1.66,1.67,1.6,1.59,1564177,07-12-2017
1.61,1.64,1.63,1.6,1576652,08-12-2017
1.64,1.707,1.7,1.635,2503014,11-12-2017
1.705,1.732,1.705,1.68,2158208,12-12-2017
1.705,1.715,1.68,1.665,1166435,13-12-2017
1.72,1.72,1.665,1.655,1013303,14-12-2017
1.685,1.685,1.61,1.61,1873313,15-12-2017
1.61,1.665,1.62,1.61,2066108,18-12-2017
1.62,1.66,1.64,1.61,2362586,19-12-2017
1.63,1.64,1.61,1.6,1417361,20-12-2017
1.61,1.62,1.62,1.59,1039584,21-12-2017
1.62,1.675,1.675,1.59,1320761,22-12-2017
1.67,1.71,1.69,1.665,781089,27-12-2017
1.7,1.72,1.72,1.67,363402,28-12-2017
1.715,1.72,1.72,1.695,456940,29-12-2017
1.7,1.71,1.66,1.65,426807,02-01-2018
1.69,1.705,1.69,1.66,563609,03-01-2018
1.69,1.69,1.675,1.66,203393,04-01-2018
1.69,1.69,1.67,1.663,207544,05-01-2018
1.67,1.76,1.74,1.67,1835772,08-01-2018
1.74,1.78,1.74,1.725,826765,09-01-2018
1.74,1.77,1.735,1.705,469516,10-01-2018
1.735,1.76,1.75,1.725,1056337,11-01-2018
1.765,1.765,1.755,1.73,380324,12-01-2018
1.755,1.79,1.765,1.73,669441,15-01-2018
1.765,1.795,1.79,1.745,747530,16-01-2018
1.795,1.835,1.82,1.76,952258,17-01-2018
1.82,1.82,1.815,1.765,452116,18-01-2018
1.8,1.825,1.815,1.76,752366,19-01-2018
1.8,1.82,1.785,1.775,291646,22-01-2018
1.79,1.805,1.8,1.77,314729,23-01-2018
1.8,1.835,1.835,1.8,962522,24-01-2018
